Address, Title, Artist, Year,Latitude,Longitude
"404 E Cannon St.","Elements","Marissa Saints",2014,39.995817,-105.086295
"472 S Longmont Ave","Bee Garden","Marissa Saints with art students and neighbors",2014,39.994760,-105.092955
"502 S Longmont Ave","Mickey In Glitter","Sarah R. Spencer",2014,39.994220,-105.092544
"106 W Cannon St.","Farm Landscape","unknown",2014,39.995800,-105.091114
"Soul Tree Yoga, Simpson St.","Empowered By Love", "Tif Choate, Marissa Saints, Cory Ducombs, Meg & Jake Stockdale, Alex Bullen, Sarah R. Spencer",2014,39.9980839,-105.0858639
"131 E. Chester St.", "Paint Comes to Life","Sarah R. Spencer",2014,39.995544,-105.090092
"211 W. Chester St.","This Must Be the Place","Jenn Weede",2014,39.995745,-105.092938
"407 W. Cleveland St.","The Patient Cat","Sarah R. Spencer",2014,39.997692,-105.095299
"506 E. Cleveland St.","Seasons","MaryPat Munding",2014,39.996778,-105.084687
"106 E Chester St.","Graphic Fence with Orchid","Sarah R. Spencer",2013,,
"103 S Public Rd.","Miller's View","Tif Choate",2013,,
"109 E. Cleveland Rd.","The Goats","Ky",2013,,
"108 E. Simpson St.","The Miner","Tif Choate",2013,,
"401 S. Public Rd.","wimsy pARTiculars",,2013,,
"108 E. Chester Rd.","An Octopus at Monet's Water Lilies","Sarah R. Spencer",2013,,
"203 W. Cleveland St.","Iris's with a Secret","Sarah R. Spencer",2013,,
"613 E. Emma St.","Big Aspens",,2013,,
"103 N. Public Rd.","Hip Hop the Frog at Leenie's","Sarah R. Spencer",2013,,
"308 E. Emma St.","Deco Trailer","Sarah R. Spencer",2013,,
"210 W. Chester St.","John's Tree", "Tif Choate, Sarah R. Spencer, Ky Wozab",2013,,
"206 S. Public Rd.","Navigating Lafayette for Superior Copy","Sarah R. Spencer",2012,,
"510 E Cleveland","Sunflowers & Sun","Sarah R. Spencer + homeowner",2012,,
"403 W Cleveland St.","Rainbow Family","Tif Choate",2012,,
"502 1/2 E Simpson St.","An Urban Garden","Tif Choate",2012,,
"307 W Cleveland St.","Lotus","Sarah R. Spencer",2012,,
"107 W Cleveland St.","Wizard of Oz","Sarah R. Spencer",2012,,
"107 S Public Rd.","Butterflies","Sarah R. Spencer + community",2012,,
"303 W Simpson St.","Large Sunflowers","Sarah R. Spencer",2012,,
"311 W Cannon St.","Sofia","Jenn Weede",2012,,
"404 E Cleveland St.","Mountain Vistas","The resident did this one with some help from Marissa and Sarah",2012,,
"301 W. Simpson St.","Eagle","Ky",2012,,
"307 E. Cleveland St.","Georgia Okeefe's Flowers","Sarah R. Spencer",2012,,
"210 S Public Rd.","Cannon Mine Landscape","Ky",2012,,
"300 W Chester St.","Four trees","Jessie Johnson and Meg Bennett",2012,,
"501 E. Cleveland St.","Sunrise in the Mountains","Tif Choate",2012,,
"211 W Simpson St.","Butterfly bush",,2012,,
"301 E Geneseo St.","Peace","Mary Pat Munding and Friends",2011,,
"201 E Cannon St.","Honecomb","Marissa Saints and Anne Klein",2011,,
"201 W. Chester St.","Rusty Sunflowers","Mary Pat Munding",2011,,
"101 W. Cannon St.","Blackbirds","Sarah R. Spencer",2011,39.996718,-105.090561
"201 E Cleveland St.","Cap butterfly",,2011,39.997713,-105.089176
"707 E Cleveland St.","One sunflower","Besty's daughter (from LOTA)",2011,39.997727,-105.081940
"111 W Chester St.","Tulip","Mary Pat Munding",2011,39.995749,-105.091877
"109 W Cannon St.","Farm with Chicken",,2011,39.996715,-105.091330
"201 E. Chester St.","Fairies","Shirley Grace",2011,39.995747,-105.089162
"205 W Emma St.","Art Deco Garden Abstract","Marissa Saints and Friends",2011,39.994740, -105.092330
